museum_id,name,address,city,state,postal,country
30,The Museum of Modern Art,11 W 53rd St,New York,NY,10019,USA
31,Pushkin State Museum of Fine Arts,12 Ulitsa Volkhonka,Moscow,,119019,Russia
32,National Gallery of Victoria,180 St Kilda Rd,Melbourne,Victoria,3004,Australia
33,São Paulo Museum of Art,"Av. Paulista, 1578 - Bela Vista",São Paulo,,01310-200,Brazil
34,The State Hermitage Museum,Palace Square,Moscow,Sankt-Peterburg,190000,Russia
35,The Metropolitan Museum of Art,1000 5th Ave,New York,NY,10028,USA
36,Museum Folkwang,Museumsplatz 1,Essen,Essen,,Germany
37,Museum of Grenoble,5 Pl. de Lavalette,Chartres,Grenoble,,France
38,Musée des Beaux-Arts de Quimper,40 Pl. Saint-Corentin,Quimper,Quimper,,France
39,Nelson-Atkins Museum of Art,4525 Oak St,Kansas City,MO,64111,USA
40,Musée du Louvre,Rue de Rivoli,Paris,Paris,,France
41,National Maritime Museum,Romney Rd,London,SE10 9NF,,United Kingdom
42,Museum of Fine Arts Boston,465 Huntington Ave,Boston,MA,2115,USA
43,Rijksmuseum,Museumstraat 1,Amsterdam,,1071 XX,Netherlands
44,Israel Museum,Derech Ruppin 11,Jerusalem,,,Israel
45,Kunsthaus Zürich,Heimplatz 1,Zurich,,8001,Switzerland
46,National Gallery of Art,Constitution Ave. NW,Washington,DC,20565,USA
47,National Gallery,Trafalgar Square,London,England,WC2N 5DN,United Kingdom
48,Mauritshuis Museum,Plein 29,Den Haag,,2511,Netherlands
49,Musée d'Orsay,1 Rue de la Légion d'Honneur,Paris,,75007,France
50,The Prado Museum,"C. de Ruiz de Alarcón, 23",Madrid,,28014,Spain
51,The Barnes Foundation,2025 Benjamin Franklin Pkwy,Philadelphia,PA,19130,USA
52,Hungarian National Gallery,Szent György tér 2,Budapest,,1014,Hungary
53,Cleveland Museum Of Art,11150 East Blvd,Cleveland,OH,44106,USA
54,"Museum of Fine Arts, Houston",1001 Bissonnet St,Houston,TX,77005,USA
55,The J. Paul Getty Museum,1200 Getty Center Dr,Los Angeles,CA,90049,USA
56,Thussen-Bornemisza Museum,"P.º del Prado, 8",Madrid,,28014,Spain
57,Van Gogh Museum,Museumplein 6,Amsterdam,,1071 DJ,Netherlands
58,The Phillips Collection,1600 21st St NW,Washington,DC,20009,USA
59,Toledo Museum of Art,2445 Monroe St,Toledo,OH,43620,USA
60,Los Angeles County Museum of Art,5905 Wilshire Blvd,Los Angeles,CA,90036,USA
61,Solomon R. Guggenheim Museum,1071 Fifth Avenue,New York,NY,10128,USA
62,The Tate Gallery,Millbank,London,England,SW1P 4RG,United Kingdom
63,Indianapolis Museum of Art,4000 N Michigan Rd,Indianapolis,IN,46208,USA
64,Museum of Fine Arts of Nancy,3 Pl. Stanislas,Nancy,,54000,France
65,Fine Arts Museums of San Francisco Legion of Honor,100 34th  Avenue,San Francisco,CA,94121,USA
66,Smithsonian American Art Museum,800 G Street NW,Washington,DC,20004,USA
67,Philadelphia Museum of Art,2600 Benjamin Franklin Pkwy,Philadelphia,PA,19130,USA
68,The Art Institute of Chicago,111 S Michigan Ave,Chicago,IL,60603,USA
69,Saint Louis Art Museum,1 Fine Arts Dr,St. Louis,MO,63001,USA
70,Uffizi Gallery Italy,"Piazzale degli Uffizi, 6",Firenze,FL,50122,Italy
71,Ohara Museum of Art,1 Chome-1-15 Central,Kurashiki,Okayama,710-8575,Japan
72,Musée Marmottan Monet,2 Rue Louis Boilly,Paris,,75016,France
73,Walters Art Museum,600 N Charles St,Baltimore,MD,21201,USA
74,Kröller-Müller Museum,Houtkampweg 6,Otterlo,,,Netherlands
75,National Museum,Cathays Park,Cardiff,Wales,CF10 3NP,United Kingdom
76,Columbus Museum of Art,480 E Broad St,Columbus,OH,43215,USA
77,Kimbell Art Museum,3333 Camp Bowie Blvd,Fort Worth,TX,76107,USA
78,Walker Art Gallery,William Brown St,Liverpool,,L3 8EL,United Kingdom
79,National Museum of Art Architecture and Design,Brynjulf Bulls plass 3,Oslo,,0250,Norway
80,Dallas Museum of Art,1717 N Harwood St,Dallas,TX,75201,USA
81,Museum of Fine Arts,Hodlerstrasse 8,Bern,,3011,Switzerland
82,Army Museum,129 Rue de Grenelle,Paris,,75007,France
83,Chrysler Museum of Art,1 Memorial Pl,Norfolk,VA,23510,USA
84,National Gallery Prague,Václavské nám. 68,Nové Měst,,110 15,Czechia
85,Norton Simon Museum,411 W Colorado Blvd,Pasadena,CA,91105,USA
86,Courtauld Gallery,Somerset House,Stran,London,WC2R 0RN,United Kingdom
